 "	118
 %	3
 (	511
 -	547
 .	3
 0	33
 1	166
 2	468
 3	73
 4	31
 5	68
 6	29
 7	29
 8	37
 9	40
 [	2
 a	13685
 b	848
 c	8368
 d	16768
 e	13373
 f	3295
 g	1225
 h	356
 i	3630
 j	310
 k	18
 l	1142
 m	3910
 n	5417
 o	5841
 p	10992
 q	3541
 r	4491
 s	5722
 t	3291
 u	3334
 v	1621
 w	32
 y	1
 z	73
 â	5
 ã	2042
 å	8
! 	2
!<	1
" 	1493
",	27
".	24
"0	1
"2	131
"3	197
"4	178
"5	193
"6	20
">	720
"a	119
"b	17
"c	66
"d	45
"e	113
"f	85
"g	64
"h	4
"i	182
"j	88
"k	8
"l	58
"m	115
"n	57
"o	14
"p	217
"q	1
"r	87
"s	149
"t	7
"u	1
"v	55
"z	4
% 	104
%)	3
%,	9
%.	5
&a	116
&d	5
("	2
(1	5
(2	6
(3	3
(4	2
(7	1
(a	13
(b	13
(c	23
(d	53
(e	123
(f	62
(g	7
(h	1
(i	23
(j	1
(l	55
(m	3
(n	32
(o	1
(p	36
(q	2
(r	19
(s	40
(t	13
(u	11
(v	2
) 	457
))	1
),	66
).	42
)<	7
+.	1
, 	6244
,0	1
,1	12
,2	3
,3	2
,4	2
,5	18
,6	1
,7	9
,8	4
,9	6
,<	1
- 	547
-,	5
-1	2
-2	36
-a	26
-b	5
-c	33
-d	20
-e	65
-f	22
-g	1
-i	7
-j	1
-k	15
-l	73
-m	521
-n	25
-o	26
-p	26
-q	4
-r	22
-s	314
-t	12
-u	1
-v	4
-ã	15
. 	3295
."	1
.)	4
..	23
.0	1
.5	1
.9	1
.<	1002
.]	2
.a	1
.j	1
.o	2
.â	80
/2	18
/9	7
/a	33
/c	11
/e	1
/f	1
/g	1
/i	1
/j	1
/n	42
/o	2
/v	1
0 	131
0"	71
0%	32
0)	7
0,	71
0.	47
0/	10
00	190
01	211
02	84
03	7
04	11
05	14
06	18
07	43
08	14
09	25
0:	4
0;	1
0â	1
1 	54
1"	83
1%	12
1)	11
1,	24
1-	2
1.	39
1/	2
10	62
11	75
12	58
13	69
14	53
15	25
16	9
17	37
18	10
19	29
1â	1
2 	61
2"	79
2%	8
2)	10
2,	16
2.	18
20	473
21	18
22	18
23	25
24	23
25	41
26	32
27	57
28	37
29	35
3 	48
3"	60
3%	7
3)	9
3,	35
3-	1
3.	19
30	38
31	36
32	30
33	25
34	46
35	30
36	32
37	31
38	29
39	26
3:	2
3a	1
3â	2
4 	53
4"	76
4%	1
4)	7
4,	12
4-	7
4.	9
4/	4
40	25
41	26
42	27
43	23
44	25
45	27
46	29
47	30
48	27
49	27
4â	1
5 	24
5"	75
5%	29
5)	3
5,	4
5.	4
5/	10
50	59
51	54
52	30
53	19
54	20
55	33
56	28
57	31
58	30
59	37
6 	18
6"	64
6%	1
6,	9
6.	9
6/	3
60	42
61	13
62	8
63	9
64	9
65	10
66	9
67	14
68	11
69	8
6â	1
7 	60
7"	81
7%	17
7)	1
7,	17
7-	22
7.	2
7/	6
70	25
71	16
72	4
73	6
74	11
75	8
76	11
77	10
78	5
79	11
8 	17
8"	60
8%	5
8)	3
8,	5
8.	5
8/	2
80	20
81	11
82	11
83	28
84	10
85	11
86	10
87	12
88	7
89	11
9 	35
9"	71
9%	6
9)	4
9,	11
9.	5
90	22
91	10
92	15
93	21
94	15
95	11
96	10
97	9
98	17
99	21
9â	1
: 	99
:<	1
; 	64
;<	2
;d	116
<c	1
<p	299
<s	719
="	2155
>"	1
>(	41
>,	1
>-	3
>a	131
>c	30
>d	17
>e	52
>f	4
>g	7
>h	3
>i	3
>l	2
>m	5
>n	44
>o	91
>p	472
>q	4
>r	6
>s	18
>t	16
>u	8
>v	49
>ã	11
? 	12
?<	1
[.	2
] 	2
a 	19972
a"	168
a)	18
a,	843
a-	179
a.	606
a/	1
a:	5
a;	6
aa	5
ab	1109
ac	2305
ad	5878
ae	40
af	634
ag	1162
ah	15
ai	2083
aj	156
ak	766
al	3850
am	4428
an	4569
ao	834
ap	1352
aq	80
ar	6604
as	8031
at	3147
au	479
av	1015
aw	4
ax	15
ay	25
az	469
aâ	1
aã	3397
aå	28
b 	36
b"	4
b)	8
b,	8
b-	2
b.	9
b?	1
ba	963
bb	1
bc	31
bd	3
be	621
bg	1
bi	828
bj	339
bl	338
bm	9
bn	1
bo	362
br	1352
bs	203
bt	26
bu	362
bv	17
bã	325
bä	1
bå	1
c 	95
c"	5
c)	23
c,	9
c-	1
c.	13
c:	2
ca	4014
cc	21
ce	2337
ch	276
ci	3832
ck	8
cl	552
cn	57
co	8829
cp	2
cr	1497
cs	8
ct	1891
cu	1016
cv	1
cz	3
cã	558
cä	8
d 	37
d"	166
d)	2
d,	15
d.	10
d=	720
da	7632
db	2
de	11918
dg	3
dh	2
di	2641
dl	1
dm	62
do	8618
dq	9
dr	307
dt	4
du	840
dv	15
dw	1
dz	2
dã	446
då	2
e 	19656
e!	1
e"	285
e)	86
e+	1
e,	889
e-	104
e.	338
e/	45
e2	4
e:	14
e;	7
e=	968
ea	1400
eb	145
ec	4093
ed	1008
ee	56
ef	993
eg	1985
eh	2
ei	2678
ej	248
ek	9
el	3904
em	4722
en	9521
eo	90
ep	467
eq	481
er	7355
es	12467
et	618
eu	2194
ev	1280
ew	4
ex	876
ey	9
ez	258
eâ	2
eã	162
eå	23
f 	1
fa	924
fd	47
fe	805
ff	469
fi	2248
fl	117
fm	3
fo	1139
fp	3
fr	494
fs	16
ft	1
fu	680
fã	125
g 	31
g"	2
g)	12
g,	7
g.	16
ga	831
ge	968
gh	48
gi	1102
gl	140
gm	33
gn	123
go	1048
gp	1
gr	1243
gs	1
gu	1350
gy	1
gã	163
h 	3
h"	9
h,	2
h-	2
ha	691
hc	1
he	326
hi	137
hm	27
hn	4
ho	906
hr	9
hs	5
ht	6
hu	26
hw	10
hy	2
hã	143
i 	678
i"	97
i&	1
i)	9
i,	41
i-	21
i.	14
ia	4966
ib	519
ic	3969
id	4167
ie	574
if	562
ig	775
ii	18
ij	13
ik	59
il	1633
im	2667
in	3834
io	3617
ip	262
iq	35
ir	2258
is	4743
it	3005
iu	81
iv	1980
ix	110
iy	1
iz	766
iâ	1
iã	1146
iä	10
iå	11
j 	7
j.	2
ja	289
jc	1
je	564
ji	1
jo	115
ju	449
jã	91
k 	12
k"	13
k)	23
k,	8
k:	2
ka	58
ke	731
ki	30
km	6
ko	66
kr	2
ks	23
kt	4
ku	22
ky	10
kã	3
kå	3
l 	2021
l"	76
l)	20
l,	333
l-	3
l.	257
l/	2
l:	2
l;	4
la	3473
lb	9
lc	70
ld	117
le	1597
lf	25
lg	173
lh	854
li	3047
lj	3
ll	100
lm	325
ln	12
lo	1276
lp	1
lq	36
ls	25
lt	816
lu	608
lv	537
lw	1
ly	2
lz	18
lã	935
lä	3
lå	2
m 	6018
m"	5
m)	8
m,	154
m-	54
m.	36
m:	2
m?	2
ma	4052
mb	1215
mc	2
me	6940
mi	2317
mm	2
mn	2
mo	2240
mp	1926
ms	1
mt	1
mu	670
mâ	3
mã	460
n 	70
n"	65
n)	92
n,	17
n-	38
n.	29
n=	467
na	4366
nb	8
nc	2236
nd	2321
ne	1472
nf	352
ng	617
nh	682
ni	1551
nj	120
nk	10
nl	11
nn	70
no	2536
np	1
nq	69
nr	3
ns	2158
nt	9581
nu	546
nv	671
ny	2
nz	32
nâ	13
nã	2438
o 	23109
o!	2
o"	119
o)	34
o,	1785
o-	217
o.	1330
o/	1
o:	19
o;	16
o<	1
o?	1
oa	181
ob	1262
oc	1126
od	1235
oe	410
of	137
og	364
oh	3
oi	612
oj	175
ok	2
ol	2035
om	3357
on	5582
oo	300
op	2057
oq	7
or	7391
os	10987
ot	1211
ou	797
ov	949
ow	4
ox	23
oy	1
oz	37
oâ	4
oã	53
oå	3
p 	8
p"	2
p)	13
p,	2
p.	2
p;	117
p>	299
pa	4227
pc	10
pe	4852
ph	21
pi	256
pl	883
pm	19
po	4797
pp	165
pr	4383
ps	2
pt	127
pu	230
pv	3
pz	1
pã	435
qf	3
qu	4491
qã	1
r 	6896
r"	116
r)	31
r,	194
r-	112
r.	132
r:	1
r;	3
r?	1
ra	8403
rb	178
rc	666
rd	868
re	9428
rf	32
rg	376
ri	5173
rj	6
rk	8
rl	355
rm	1041
rn	619
ro	5721
rp	29
rq	180
rr	628
rs	313
rt	1495
ru	547
rv	346
rz	13
rã	2195
s 	20246
s"	166
s&	120
s)	42
s,	1483
s-	406
s.	1277
s/	33
s:	41
s;	25
s<	1
s?	7
sa	1500
sb	26
sc	1140
sd	49
se	5409
sf	186
sg	12
sh	11
si	1894
sk	65
sl	132
sm	265
sn	25
so	2082
sp	1840
sq	39
sr	3
ss	2730
st	5614
su	1480
sv	18
sw	6
sy	5
sz	3
sâ	3
sã	2016
så	4
t 	49
t"	164
t)	76
t,	19
t.	14
ta	6393
tc	6
td	1
te	7703
tf	6
th	27
ti	4980
tl	11
tm	19
to	6515
tr	3269
ts	37
tt	31
tu	1346
tv	1
ty	2
tã	2365
tä	6
u 	1023
u"	21
u,	81
u-	35
u.	43
u:	6
u;	2
ua	2047
ub	207
uc	246
ud	313
ue	4018
uf	44
ug	80
uh	4
ui	1067
uj	57
uk	13
ul	1106
um	3230
un	1546
uo	179
up	386
ur	2948
us	913
ut	1177
uv	28
ux	17
uz	168
uã	666
uå	1
v 	5
v"	2
v)	8
va	1778
vc	1
vd	1
ve	3133
vi	1775
vl	8
vo	2419
vr	34
vs	2
vu	10
vv	4
vã	398
w 	4
wa	14
we	10
wi	10
wo	17
ws	7
x 	3
x"	9
x)	1
x-	9
xa	112
xc	158
xe	161
xi	328
xo	48
xp	182
xt	109
xã	19
y 	16
y"	10
y)	1
y,	1
ya	2
yb	1
yc	1
yd	1
ye	5
yl	7
yn	5
yo	1
yr	14
ys	2
z 	325
z"	6
z,	16
z-	8
z.	7
za	730
ze	244
zi	159
zk	2
zl	3
zm	22
zo	222
zu	17
zy	6
zz	19
zã	83
€ 	4
€‹	4
€	12
€¢	3
f	1
g	1
u	3
‚ 	3
‚a	4
‚¬	1
‚ä	1
ƒl	2
ƒs	1
ƒt	2
ƒu	6
…s	2
ˆo	23
‰ 	137
‰,	10
‹ 	1
‹n	1
‹â	2
i	10
n	6
—)	1
—-	3
—n	3
™e	1
™i	2
™s	1
™ã	1
 	5
)	1
,	2
.	4
  	592
 q	2
 s	162
¡ 	623
¡"	30
¡,	32
¡-	30
¡.	7
¡b	7
¡c	66
¡d	1
¡f	12
¡g	31
¡i	6
¡k	4
¡l	53
¡m	39
¡n	1
¡p	14
¡q	4
¡r	659
¡s	34
¡t	123
¡u	29
¡v	372
¡x	35
¡ã	23
¡å	6
¢ 	3
¢i	6
¢m	78
¢n	208
£ 	2
£,	1
£e	1
£o	6524
£s	1
¤"	2
¤i	1
¤l	2
¤r	2
§a	1082
§o	331
§ã	4463
¨l	1
¨s	2
© 	787
©)	1
©,	18
©-	9
©.	3
©<	1
©b	6
©c	70
©d	60
©f	69
©g	168
©i	1
©l	53
©m	437
©n	19
©p	6
©r	284
©s	147
©t	57
©u	22
©v	11
ª 	35
ª,	1
ª-	7
ª?	1
ªe	4
ªm	90
ªn	551
ªs	55
ªu	16
ªx	10
«n	3
«t	10
¬ 	1
­ 	8
­,	1
­-	1
­a	17
­b	92
­c	295
­d	290
­f	76
­g	11
­k	26
­l	32
­m	13
­n	156
­o	106
­p	72
­q	1
­r	15
­s	235
­t	609
­v	556
­z	3
¯f	2
° 	2
°.	2
² 	2
³ 	59
³,	4
³-	4
³;	1
³b	12
³c	12
³d	7
³g	55
³i	4
³k	1
³l	23
³m	616
³n	26
³p	45
³r	705
³s	97
³t	2
³v	17
³x	53
´l	1
´n	1
´r	19
´s	7
µe	1392
¶k	2
¶l	12
¶m	4
¶r	2
¶s	1
º 	81
º,	7
º-	1
º.	4
ºb	168
ºd	64
ºe	1
ºg	1
ºl	66
ºm	42
ºn	81
ºp	1
ºr	1
ºs	23
ºt	34
ºv	25
¼b	2
¼l	22
¼n	1
â€	19
â‚	1
â°	4
â²	2
â³	1
âº	94
ã€	4
ã	3
ã…	2
ã‰	147
ã	6
ã 	756
ã¡	2212
ã¢	286
ã£	6529
ã¤	7
ã§	5876
ã¨	3
ã©	2229
ãª	770
ã­	2615
ã¯	2
ã³	1742
